center_x,center_y,x,y,w,h,label,orientation,avg_height,orig_index
345,380,333,378,20,5,unknown_elongated_building,-90.0,145.09129333496094,0
306,378,300,373,21,10,unknown_elongated_building,-90.0,145.37208557128906,2
402,374,398,366,10,17,03_palace,-78.69007110595703,144.7666015625,3
312,365,304,358,19,16,04_palace,-78.69007110595703,145.75631713867188,4
519,355,514,353,13,6,ruin_small,-90.0,143.41529846191406,5
349,359,347,353,6,12,ruin_small,-90.0,144.35598754882812,6
497,352,489,349,18,9,01_house,-90.0,143.7089385986328,7
317,349,313,346,10,9,01_house,-90.0,144.21372985839844,8
336,338,324,334,26,9,16_platform_large,-90.0,144.70254516601562,9
366,318,359,308,16,22,04_palace,-80.53768157958984,145.90625,10
197,303,194,296,8,16,01_house,-90.0,147.68667602539062,13
177,306,165,296,25,20,cluster_houses,-47.48955154418945,148.68345642089844,14
229,299,219,295,21,12,16_platform_large,-90.0,147.36614990234375,15
553,293,543,289,23,9,04_palace,-90.0,146.48529052734375,16
207,281,200,278,16,8,01_house,-80.53768157958984,149.48110961914062,18
319,277,311,274,18,9,15_platform_small,-90.0,146.2229766845703,19
403,280,390,271,30,18,cluster_houses,-28.072486877441406,145.93341064453125,20
585,283,567,270,36,28,11_temple_pyramida,-18.434947967529297,150.2894287109375,21
557,267,547,264,22,9,04_palace,-90.0,146.75856018066406,22
179,272,176,260,12,22,02_double_house,-90.0,151.6103515625,24
377,272,368,259,26,30,cluster_houses,-42.878902435302734,146.07614135742188,25
314,259,298,254,32,12,02_double_house,-85.23635864257812,145.85302734375,26
284,252,279,251,12,5,01_house,-90.0,145.917236328125,27
544,252,537,246,16,14,04_palace,-90.0,145.63327026367188,28
256,263,246,244,21,40,12_juego,-80.83765411376953,149.92062377929688,29
228,259,220,241,17,40,12_juego,-80.53768157958984,150.53826904296875,30
392,245,378,239,32,14,02_double_house,-90.0,146.4399871826172,31
192,246,176,237,38,18,02_double_house,-90.0,152.06626892089844,32
353,232,343,225,22,17,04_palace,-90.0,148.47052001953125,34
292,224,290,219,7,12,01_house,-90.0,146.8094482421875,35
252,212,249,206,7,13,ruin_small,-90.0,149.194091796875,37
326,203,323,197,7,13,01_house,-90.0,147.13389587402344,39
309,220,302,195,21,43,cluster_houses,-90.0,146.7325439453125,40
338,205,335,193,10,27,16_platform_large,-81.46923828125,146.91836547851562,41
251,193,241,185,21,18,16_platform_large,-90.0,150.57794189453125,42
285,170,282,166,10,9,01_house,-56.309932708740234,148.01951599121094,45
52,170,49,161,8,18,01_house,-75.96375274658203,168.4391632080078,47
405,159,399,154,15,12,16_platform_large,-90.0,145.7832489013672,48
368,158,364,153,11,13,03_palace,-90.0,148.59103393554688,49
142,180,130,151,22,55,04_palace_large,-78.69007110595703,158.97576904296875,50
342,165,319,145,50,31,cluster_houses,-90.0,148.077880859375,52
269,159,264,140,13,43,02_double_house,-80.27242279052734,149.06658935546875,53
410,141,406,139,10,7,01_house,-90.0,145.60987854003906,54
383,144,373,135,20,19,02_double_house,-32.47119140625,147.3543701171875,55
362,132,356,128,14,10,04_palace,-90.0,147.98533630371094,58
310,141,283,125,49,32,cluster_houses,-78.6900634765625,148.28561401367188,59
346,131,342,123,11,19,02_double_house,-90.0,148.4840850830078,60
230,127,222,121,17,13,16_platform_large,-90.0,150.57484436035156,61
287,119,284,111,8,17,01_house,-90.0,148.00897216796875,62
386,114,374,108,27,14,04_palace,-75.96375274658203,146.69517517089844,63
50,100,41,98,19,7,16_platform_large,-90.0,162.32875061035156,64
348,84,338,77,19,16,16_platform_large,-90.0,146.62461853027344,66
39,80,37,75,5,14,ruin_small,-90.0,162.34483337402344,67
323,81,320,74,7,15,01_house,-90.0,147.05677795410156,68
167,72,159,67,17,12,02_double_house,-90.0,154.1141357421875,70
79,70,75,63,9,15,01_house,-71.56504821777344,160.23306274414062,71
19,54,13,49,15,13,04_palace,-90.0,163.51254272460938,72
299,50,289,46,24,10,02_double_house,-90.0,147.72666931152344,73
317,43,312,39,11,11,unknown_small_building,-90.0,147.46107482910156,74
267,32,264,26,7,14,ruin_small,-90.0,149.45645141601562,76
280,43,273,18,17,48,02_double_house,-73.49563598632812,149.028076171875,78
51,22,49,17,6,11,ruin_small,-90.0,162.17449951171875,79
15,24,12,17,9,17,01_house,-80.53768157958984,164.18536376953125,80
37,15,28,6,24,26,unknown_large_building,-43.451839447021484,163.56338500976562,83
357,12,351,4,15,17,04_palace,-90.0,146.33370971679688,84
269,10,266,4,8,14,01_house,-90.0,151.79884338378906,85
5,4,0,0,12,12,03_palace,-90.0,167.14927673339844,86
